City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Albany,US,79.21,moderate rain,42.6001,-73.9662,
2,Shirokiy,RU,73.15,overcast clouds,49.758,129.523,
7,Atuona,PF,77.5,clear sky,-9.8,-139.0333,Villa Enata
9,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
11,Bani,DO,79.86,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
13,Kavieng,PG,85.39,clear sky,-2.5744,150.7967,Nusa Island Retreat
17,Butaritari,KI,83.01,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
18,Rikitea,PF,71.96,light rain,-23.1203,-134.9692,People ThankYou
20,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
26,Port Alfred,ZA,72.18,clear sky,-33.5906,26.891,The Halyards Hotel
27,Hithadhoo,MV,79.39,light rain,-0.6,73.0833,Scoop Guest House
28,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Paso De Ovejas,MX,84.02,clear sky,19.2833,-96.4333,HOTEL JARDINES
42,Dengzhou,CN,81.82,scattered clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
46,Gazli,UZ,88.56,clear sky,40.1333,63.45,
47,Hovd,MN,72.45,clear sky,48.0056,91.6419,Hotel Khovd
49,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
50,Veraval,IN,83.16,overcast clouds,20.9,70.3667,Lords Inn Somnath
55,Zhuhai,CN,80.31,heavy intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
57,Lethem,GY,74.35,overcast clouds,3.3803,-59.7968,Savannah Inn
58,Anamur,TR,78.28,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
62,Yellowknife,CA,72.12,scattered clouds,62.456,-114.3525,The Explorer Hotel
63,Port Elizabeth,ZA,70.32,clear sky,-33.918,25.5701,39 On Nile Guest House
64,Hun,LY,79.9,clear sky,29.1268,15.9477,Alrwasi Hotel
65,Ningxiang,CN,81.55,overcast clouds,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
67,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
68,Chara,RU,74.3,light rain,56.9064,118.2631,
70,La Romana,DO,79.16,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
71,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
72,Laguna,US,89.4,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
76,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
78,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
83,Westport,US,76.75,clear sky,41.1415,-73.3579,The Westport Inn
84,Rock Sound,BS,81.07,few clouds,24.9,-76.2,Pink Corral Bay Property
85,Cranbrook,CA,78.64,broken clouds,49.4999,-115.7688,Almo Court Motel
88,Tuktoyaktuk,CA,77.0,few clouds,69.4541,-133.0374,End of The Road Ltd.
89,Aklavik,CA,79.93,scattered clouds,68.2191,-135.0107,Aklavik Inn
90,Banamba,ML,80.62,overcast clouds,13.55,-7.45,Kassela de Banamba
92,Kavaratti,IN,81.95,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
93,Haines Junction,CA,76.95,overcast clouds,60.7522,-137.5108,Parkside Inn
95,Poum,NC,77.31,overcast clouds,-20.2333,164.0167,
96,Arlit,NE,82.53,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
97,Sile,TR,70.57,clear sky,41.1754,29.6133,Phellos Suites
98,Mindelo,CV,74.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
99,Hami,CN,88.16,overcast clouds,42.8,93.45,Laoyutang Resort
103,Kolondieba,ML,73.45,light rain,11.0882,-6.8926,Hotel Dakan
112,Manbij,SY,72.09,clear sky,36.5281,37.9549,Manbej City Hotel
114,Faya,SA,73.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
118,Quang Ngai,VN,81.63,overcast clouds,15.1167,108.8,Central Hotel
122,Tandalti,SD,78.78,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
124,Pula,HR,73.96,clear sky,44.8683,13.8481,Park Plaza Histria Pula
125,Faanui,PF,78.53,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Mnogovershinnyy,RU,80.51,clear sky,53.9353,139.9242,Obshchezhitiye 14
128,San Patricio,US,85.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
131,Bandundu,CD,72.82,clear sky,-3.3167,17.3667,Coja Color
135,Naze,JP,77.92,heavy intensity rain,28.3667,129.4833,Shishime Hotel
137,Sant Cugat Del Valles,ES,70.52,clear sky,41.4667,2.0833,AC Hotel by Marriott Sant Cugat
138,Noshiro,JP,77.83,broken clouds,40.2039,140.0242,Suigetsu
140,Hamilton,US,81.84,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
143,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
144,Encrucijada,CU,79.36,few clouds,22.6169,-79.8711,Hostal La Terraza
145,Dir,PK,78.66,scattered clouds,35.2058,71.8756,Sindh Hotal Dir
146,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Kuhdasht,IR,76.82,clear sky,33.535,47.6061,فروشگاه زنبیل
150,Lorengau,PG,86.0,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
151,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
154,Meadow Lake,US,76.44,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
155,Simoes,BR,70.25,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
158,Tual,ID,81.77,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
160,Aginskoye,RU,82.98,clear sky,51.1,114.53,Кочевник
163,Russell,US,80.2,light rain,32.3502,-85.1999,Macs
164,Caruray,PH,89.02,broken clouds,10.3094,119.0128,
166,Bardiyah,LY,75.0,clear sky,31.7561,25.0865,بورتو بردية
169,Rio Verde De Mato Grosso,BR,70.39,scattered clouds,-18.9181,-54.8442,Quedas Palace Hotel
170,Nobres,BR,72.5,clear sky,-14.7203,-56.3275,Hotel Portal Nobres
174,Yekaterinoslavka,RU,78.96,overcast clouds,50.3734,129.1139,Oktyabr'skaya
175,College,US,86.47,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
176,Carutapera,BR,75.09,clear sky,-1.195,-46.02,Lidera
178,Tongliao,CN,83.08,overcast clouds,43.6125,122.2653,Meirujia Hotel
182,Tezu,IN,87.44,few clouds,27.9167,96.1667,Circuit House
186,Una,IN,83.03,overcast clouds,20.8167,71.0333,Hotel Harbhole
188,Victoria,HK,80.96,light rain,22.2855,114.1577,Mini Central
191,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
196,Nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
197,Padang,ID,82.45,clear sky,-0.9492,100.3543,Mercure Padang
200,Caucasia,CO,75.38,overcast clouds,7.9865,-75.1935,Hotel San Rafael
201,Moussoro,TD,84.27,broken clouds,13.6408,16.4901,Hôtel Salama
203,Bandarbeyla,SO,81.72,overcast clouds,9.4942,50.8122,JABIR HOTEL
204,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
206,Sovetskaya Gavan,RU,77.47,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
207,Yaan,NG,70.54,light rain,7.3833,8.5667,
214,Raton,US,70.41,broken clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
217,Ponta Do Sol,PT,71.01,few clouds,32.6667,-17.1,Hotel do Campo
218,Norman Wells,CA,78.84,scattered clouds,65.282,-126.8329,Heritage Hotel
219,Conceicao Do Araguaia,BR,75.06,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
