City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ancud,CL,-41.8697,-73.8203,42.22,72,100,12.84,overcast clouds
1,Albany,US,42.6001,-73.9662,79.21,73,96,5.75,moderate rain
2,Shirokiy,RU,49.758,129.523,73.15,84,95,6.8,overcast clouds
3,Ilulissat,GL,69.2167,-51.1,44.62,81,40,9.22,scattered clouds
4,Nikolskoye,RU,59.7035,30.7861,66.09,64,26,4.54,scattered clouds
5,Amot,NO,59.5714,7.9877,51.51,93,100,3.04,overcast clouds
6,Gdynia,PL,54.5189,18.5319,67.12,88,0,6.91,clear sky
7,Atuona,PF,-9.8,-139.0333,77.5,76,2,8.72,clear sky
8,Saldanha,ZA,-33.0117,17.9442,59.05,92,1,17.07,clear sky
9,Bathsheba,BB,13.2167,-59.5167,83.01,93,40,19.57,scattered clouds
10,Narsaq,GL,60.9167,-46.05,50.22,83,57,2.42,broken clouds
11,Bani,DO,18.2833,-70.3333,79.86,78,99,12.8,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,52.48,78,67,5.66,broken clouds
13,Kavieng,PG,-2.5744,150.7967,85.39,69,7,16.04,clear sky
14,Vostok,RU,46.4856,135.8833,67.62,87,100,3.69,overcast clouds
15,Upernavik,GL,72.7868,-56.1549,36.63,85,85,9.26,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,38.86,56,75,6.91,broken clouds
17,Butaritari,KI,3.0707,172.7902,83.01,76,30,18.1,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,71.96,76,100,14.32,light rain
19,Kruisfontein,ZA,-34.0033,24.7314,64.89,42,0,18.01,clear sky
20,Port Blair,IN,11.6667,92.75,86.04,79,40,9.22,scattered clouds
21,Barstow,US,34.8986,-117.0228,97.79,19,0,21.05,clear sky
22,New Norfolk,AU,-42.7826,147.0587,53.89,79,7,1.99,clear sky
23,Hualmay,PE,-11.0964,-77.6139,61.92,83,22,9.69,few clouds
24,Hermanus,ZA,-34.4187,19.2345,60.64,71,3,19.01,clear sky
25,Santa Maria,BR,-29.6842,-53.8069,54.7,94,0,2.3,clear sky
26,Port Alfred,ZA,-33.5906,26.891,72.18,40,0,8.01,clear sky
27,Hithadhoo,MV,-0.6,73.0833,79.39,83,100,17.38,light rain
28,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,95,5.01,overcast clouds
29,Dikson,RU,73.5069,80.5464,33.62,91,100,7.07,overcast clouds
30,Draguignan,FR,43.5333,6.4667,66.0,73,7,3.44,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,33.91,69,0,4.61,clear sky
32,Port Lincoln,AU,-34.7333,135.8667,54.48,62,100,10.92,overcast clouds
33,Bluff,NZ,-46.6,168.3333,52.81,83,98,25.66,overcast clouds
34,Kapaa,US,22.0752,-159.319,84.18,74,100,17.27,overcast clouds
35,Jamestown,US,42.097,-79.2353,68.02,87,100,12.66,light rain
36,Thompson,CA,55.7435,-97.8558,59.16,47,75,9.22,broken clouds
37,Paso De Ovejas,MX,19.2833,-96.4333,84.02,90,5,2.15,clear sky
38,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.39,80,87,10.13,overcast clouds
39,East London,ZA,-33.0153,27.9116,68.09,42,0,9.4,clear sky
40,Valer,NO,60.6785,11.8331,59.65,98,85,2.13,overcast clouds
41,Lebu,CL,-37.6167,-73.65,48.29,67,100,6.15,overcast clouds
42,Dengzhou,CN,37.8086,120.7508,81.82,73,30,2.71,scattered clouds
43,Kaitangata,NZ,-46.2817,169.8464,52.02,69,66,9.01,broken clouds
44,Gueret,FR,46.1667,1.8667,45.52,85,0,3.56,clear sky
45,Te Anau,NZ,-45.4167,167.7167,48.6,86,75,5.86,broken clouds
46,Gazli,UZ,40.1333,63.45,88.56,10,4,17.83,clear sky
47,Hovd,MN,48.0056,91.6419,72.45,17,3,5.53,clear sky
48,Oktyabrskoye,RU,43.0645,44.7417,60.94,94,96,2.24,overcast clouds
49,Acapulco,MX,16.8634,-99.8901,84.02,79,75,6.91,broken clouds
50,Veraval,IN,20.9,70.3667,83.16,81,100,16.06,overcast clouds
51,Husavik,IS,66.0449,-17.3389,46.0,96,65,2.53,broken clouds
52,Ahipara,NZ,-35.1667,173.1667,57.36,66,100,5.26,overcast clouds
53,San Cristobal,VE,7.7669,-72.225,68.18,98,80,2.77,broken clouds
54,Saskylakh,RU,71.9167,114.0833,63.64,42,24,6.58,few clouds
55,Zhuhai,CN,22.2769,113.5678,80.31,94,40,41.43,heavy intensity shower rain
56,Krasnoselkup,RU,65.7,82.4667,61.47,49,44,11.12,scattered clouds
57,Lethem,GY,3.3803,-59.7968,74.35,90,91,6.15,overcast clouds
58,Anamur,TR,36.0751,32.8369,78.28,66,0,5.21,clear sky
59,Thunder Bay,CA,48.4001,-89.3168,66.11,39,40,9.22,scattered clouds
60,Cabo San Lucas,MX,22.8909,-109.9124,90.7,58,0,18.41,clear sky
61,Saint George,US,37.1041,-113.5841,99.19,13,0,13.8,clear sky
62,Yellowknife,CA,62.456,-114.3525,72.12,30,40,9.22,scattered clouds
63,Port Elizabeth,ZA,-33.918,25.5701,70.32,46,0,8.05,clear sky
64,Hun,LY,29.1268,15.9477,79.9,30,0,2.82,clear sky
65,Ningxiang,CN,37.34,111.2052,81.55,46,100,12.03,overcast clouds
66,Lompoc,US,34.6391,-120.4579,68.14,90,75,12.66,mist
67,Saint-Georges,GD,12.0564,-61.7485,78.48,89,40,6.91,scattered clouds
68,Chara,RU,56.9064,118.2631,74.3,62,100,3.02,light rain
69,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,10.36,drizzle
70,La Romana,DO,18.4273,-68.9728,79.16,89,20,0.0,few clouds
71,Avarua,CK,-21.2078,-159.775,78.85,65,100,12.66,overcast clouds
72,Laguna,US,38.421,-121.4238,89.4,31,0,12.66,clear sky
73,Gutierrez,CO,4.2547,-74.0025,52.05,97,100,2.98,overcast clouds
74,Sioux Lookout,CA,50.1001,-91.917,59.07,36,20,12.66,few clouds
75,Quatre Cocos,MU,-20.2078,57.7625,68.11,70,97,20.94,light rain
76,Makakilo City,US,21.3469,-158.0858,86.32,58,20,19.57,few clouds
77,Tasiilaq,GL,65.6145,-37.6368,37.24,92,100,4.76,overcast clouds
78,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,light intensity shower rain
79,Frunze,UA,48.6686,38.7544,51.82,72,0,11.1,clear sky
80,La Ronge,CA,55.1001,-105.2842,61.05,48,75,4.61,broken clouds
81,Busselton,AU,-33.65,115.3333,57.2,60,0,7.02,clear sky
82,Homer,US,59.6425,-151.5483,62.49,67,75,6.91,broken clouds
83,Westport,US,41.1415,-73.3579,76.75,86,0,9.22,clear sky
84,Rock Sound,BS,24.9,-76.2,81.07,78,20,16.93,few clouds
85,Cranbrook,CA,49.4999,-115.7688,78.64,25,75,5.75,broken clouds
86,Salym,RU,60.0625,71.4789,58.33,53,57,9.28,broken clouds
87,Ballina,AU,-28.8667,153.5667,58.01,99,100,11.83,light rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,77.0,41,20,6.91,few clouds
89,Aklavik,CA,68.2191,-135.0107,79.93,33,43,13.85,scattered clouds
90,Banamba,ML,13.55,-7.45,80.62,55,86,5.46,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,69,14.63,broken clouds
92,Kavaratti,IN,10.5669,72.642,81.95,82,95,21.81,light rain
93,Haines Junction,CA,60.7522,-137.5108,76.95,36,86,9.22,overcast clouds
94,Scottsbluff,US,41.8666,-103.6672,67.78,68,70,13.8,broken clouds
95,Poum,NC,-20.2333,164.0167,77.31,74,100,14.94,overcast clouds
96,Arlit,NE,18.7369,7.3853,82.53,46,54,8.12,broken clouds
97,Sile,TR,41.1754,29.6133,70.57,79,0,5.35,clear sky
98,Mindelo,CV,16.8901,-24.9804,74.75,64,40,16.11,scattered clouds
99,Hami,CN,42.8,93.45,88.16,25,86,9.15,overcast clouds
100,Gaillac,FR,43.9016,1.8969,54.55,66,6,3.67,clear sky
101,Muravlenko,RU,63.7898,74.523,55.74,55,96,13.94,overcast clouds
102,Khatanga,RU,71.9667,102.5,54.72,53,96,14.43,overcast clouds
103,Kolondieba,ML,11.0882,-6.8926,73.45,83,57,1.66,light rain
104,Mar Del Plata,AR,-38.0023,-57.5575,50.09,78,100,4.61,light rain
105,Kargopol,RU,61.5071,38.9456,62.22,60,7,6.22,clear sky
106,Esperance,AU,-33.8667,121.9,57.79,57,0,6.51,clear sky
107,Port Augusta,AU,-32.5,137.7667,55.94,49,1,16.75,clear sky
108,Boddam,GB,57.4667,-1.7833,53.98,86,96,5.32,overcast clouds
109,Bredasdorp,ZA,-34.5322,20.0403,54.81,66,5,5.41,clear sky
110,Geraldton,AU,-28.7667,114.6,59.41,63,0,6.91,clear sky
111,Umba,RU,66.6871,34.3429,55.56,82,34,8.25,scattered clouds
112,Manbij,SY,36.5281,37.9549,72.09,75,0,16.64,clear sky
113,Chokurdakh,RU,70.6333,147.9167,49.75,59,88,10.87,overcast clouds
114,Faya,SA,18.3851,42.4509,73.51,34,64,5.01,broken clouds
115,Doha,QA,25.2867,51.5333,96.78,36,0,16.11,clear sky
